projectIdentifier,subappType,subapplicationType
DR-1605-0227-R,Regular Project,Safe Room/Wind Shelter
DR-1605-0044-R,Regular Project,Safe Room/Wind Shelter
DR-1605-0052-F,HMGP 5% Initiative,Warning Systems
DR-1605-0072-F,HMGP 5% Initiative,Generators
DR-1605-0302-R,Regular Project,Safe Room/Wind Shelter
DR-1605-0147-F,HMGP 5% Initiative,Warning Systems
DR-1605-0083-F,HMGP 5% Initiative,Generators
DR-1605-0050-F,HMGP 5% Initiative,Warning Systems
DR-1605-0256-R,Regular Project,Wind Retrofit
DR-1605-0138-P,Planning,Mitigation Planning
DR-1605-0182-F,HMGP 5% Initiative,Warning Systems
DR-1605-0016-F,HMGP 5% Initiative,Generators
DR-1605-0237-R,Regular Project,Safe Room/Wind Shelter
DR-1605-0290-F,HMGP 5% Initiative,Warning Systems
DR-1605-0080-F,HMGP 5% Initiative,Warning Systems
DR-1605-0021-F,HMGP 5% Initiative,Warning Systems
DR-1605-0291-F,HMGP 5% Initiative,Warning Systems
DR-1605-0151-F,HMGP 5% Initiative,Warning Systems
DR-1605-0287-F,HMGP 5% Initiative,Warning Systems
DR-1605-0254-F,HMGP 5% Initiative,Warning Systems
DR-1605-0040-F,HMGP 5% Initiative,Warning Systems
DR-1605-0036-F,HMGP 5% Initiative,Warning Systems
DR-1605-0038-F,HMGP 5% Initiative,Warning Systems
DR-1605-0034-F,HMGP 5% Initiative,Warning Systems
DR-1605-0035-F,HMGP 5% Initiative,Warning Systems
DR-1605-0253-F,HMGP 5% Initiative,Warning Systems
DR-1605-0288-F,HMGP 5% Initiative,Warning Systems
DR-1605-0031-F,HMGP 5% Initiative,Warning Systems
DR-1605-0033-F,HMGP 5% Initiative,Warning Systems
DR-1605-0230-P,Planning,Mitigation Planning
DR-1605-0286-F,HMGP 5% Initiative,Warning Systems
DR-1605-0053-F,HMGP 5% Initiative,Warning Systems
DR-1605-0189-R,Regular Project,Warning Systems
DR-1605-0150-F,HMGP 5% Initiative,Warning Systems
DR-1605-0013-F,HMGP 5% Initiative,Generators
DR-1605-0032-F,HMGP 5% Initiative,Warning Systems
DR-1605-0155-R,Regular Project,Safe Room/Wind Shelter
DR-1605-0154-R,Regular Project,Safe Room/Wind Shelter
DR-1605-0293-F,HMGP 5% Initiative,Warning Systems
DR-1605-0042-F,HMGP 5% Initiative,Warning Systems
DR-1605-0009-R,Regular Project,Acquisitions
DR-1605-0037-F,HMGP 5% Initiative,Warning Systems
DR-1791-0139-P,Planning,Mitigation Planning
DR-1791-0075-R,Regular Project,Wind Retrofit
DR-1791-0109-R,Regular Project,Wind Retrofit
DR-1791-0206-P,Planning,Mitigation Planning
DR-1791-0226-P,Planning,Mitigation Planning
DR-1791-0144-F,HMGP 5% Initiative,Warning Systems
DR-1791-0166-R,Regular Project,Wind Retrofit
DR-1791-0278-P,Planning,Mitigation Planning
DR-1791-0279-P,Planning,Mitigation Planning
DR-1791-0365-R,Regular Project,Wind Retrofit
DR-1791-0053-F,HMGP 5% Initiative,Generators
DR-1791-0054-F,HMGP 5% Initiative,Generators
DR-1791-0108-R,Regular Project,Wind Retrofit
DR-1791-0146-R,Regular Project,Flood Control
DR-1791-0312-R,Regular Project,Safe Room/Wind Shelter
DR-1791-0313-R,Regular Project,Safe Room/Wind Shelter
DR-1791-0050-F,HMGP 5% Initiative,Generators
DR-1791-0151-R,Regular Project,Wind Retrofit
DR-1791-0071-R,Regular Project,Wind Retrofit
DR-1791-0047-F,HMGP 5% Initiative,Generators
DR-1791-0064-R,Regular Project,Acquisitions
DR-1791-0149-R,Regular Project,Wind Retrofit
DR-1791-0213-R,Regular Project,Wind Retrofit
DR-1791-0218-R,Regular Project,Wind Retrofit
DR-1791-0063-P,Planning,Mitigation Planning
DR-1791-0167-R,Regular Project,Wind Retrofit
DR-1791-0118-R,Regular Project,Wind Retrofit
DR-1791-0184-R,Regular Project,Wind Retrofit
DR-1791-0197-R,Regular Project,Wildfire Mitigation
DR-1791-0283-R,Regular Project,Safe Room/Wind Shelter
DR-1791-0209-P,Planning,Mitigation Planning
DR-1791-0076-P,Planning,Mitigation Planning
DR-1791-0231-P,Planning,Mitigation Planning
DR-1791-0224-P,Planning,Mitigation Planning
DR-1791-0027-F,HMGP 5% Initiative,Generators
DR-1791-0022-F,HMGP 5% Initiative,Generators
DR-1791-0103-P,Planning,Mitigation Planning
DR-1791-0029-F,HMGP 5% Initiative,Generators
DR-1791-0021-F,HMGP 5% Initiative,Generators
DR-1791-0342-R,Regular Project,Safe Room/Wind Shelter
DR-1791-0311-R,Regular Project,Safe Room/Wind Shelter
DR-1791-0331-R,Regular Project,Safe Room/Wind Shelter
DR-1791-0178-R,Regular Project,Safe Room/Wind Shelter
DR-1791-0330-R,Regular Project,Safe Room/Wind Shelter
DR-1791-0020-F,HMGP 5% Initiative,Generators
DR-1791-0006-F,HMGP 5% Initiative,Other Equipment
DR-1791-0333-R,Regular Project,Safe Room/Wind Shelter
DR-1791-0042-F,HMGP 5% Initiative,Generators
DR-1791-0028-F,HMGP 5% Initiative,Generators
DR-1791-0134-R,Regular Project,Flood Control
DR-1791-0219-F,HMGP 5% Initiative,Wind Retrofit
DR-1791-0043-F,HMGP 5% Initiative,Other Equipment
DR-1791-0301-F,HMGP 5% Initiative,Education and Awareness
DR-1791-0229-P,Planning,Mitigation Planning
DR-1791-0057-F,HMGP 5% Initiative,Generators
DR-1791-0046-F,HMGP 5% Initiative,Generators
DR-1791-0198-F,HMGP 5% Initiative,Miscellaneous
DR-1791-0037-F,HMGP 5% Initiative,Generators
DR-1791-0181-P,Planning,Mitigation Planning
DR-1791-0148-P,Planning,Mitigation Planning
DR-1791-0145-F,HMGP 5% Initiative,Warning Systems
DR-1791-0316-R,Regular Project,Safe Room/Wind Shelter
DR-1791-0135-P,Planning,Mitigation Planning
DR-1791-0045-F,HMGP 5% Initiative,Generators
DR-1791-0362-R,Regular Project,Safe Room/Wind Shelter
DR-1791-0280-P,Planning,Mitigation Planning
DR-1791-0039-F,HMGP 5% Initiative,Generators
DR-1791-0176-F,HMGP 5% Initiative,Generators
DR-1791-0292-R,Regular Project,Wind Retrofit
DR-1791-0352-R,Regular Project,Safe Room/Wind Shelter
DR-1791-0177-P,Planning,Mitigation Planning
DR-1791-0220-F,HMGP 5% Initiative,Generators
DR-1791-0355-R,Regular Project,Safe Room/Wind Shelter
DR-1791-0354-R,Regular Project,Safe Room/Wind Shelter
DR-1791-0195-P,Planning,Mitigation Planning
DR-1791-0200-R,Regular Project,Wind Retrofit
DR-1791-0049-F,HMGP 5% Initiative,Generators
DR-1791-0297-R,Regular Project,Safe Room/Wind Shelter
DR-1791-0359-R,Regular Project,Safe Room/Wind Shelter
DR-1791-0368-R,Regular Project,Safe Room/Wind Shelter
DR-1791-0353-R,Regular Project,Safe Room/Wind Shelter
DR-1791-0361-R,Regular Project,Safe Room/Wind Shelter
DR-1791-0024-F,HMGP 5% Initiative,Generators
DR-1791-0032-F,HMGP 5% Initiative,Generators
DR-1791-0031-F,HMGP 5% Initiative,Generators
DR-1791-0230-P,Planning,Mitigation Planning
DR-1791-0233-R,Regular Project,Flood Control
DR-1791-0026-F,HMGP 5% Initiative,Generators
DR-1791-0072-P,Planning,Mitigation Planning
DR-1791-0114-R,Regular Project,Wind Retrofit
DR-1791-0142-R,Regular Project,Wind Retrofit
DR-1791-0040-F,HMGP 5% Initiative,Generators
DR-1791-0183-F,HMGP 5% Initiative,Generators
DR-1791-0194-P,Planning,Mitigation Planning
DR-1791-0188-R,Regular Project,Wind Retrofit
DR-1791-0055-F,HMGP 5% Initiative,Generators
DR-1791-0318-R,Regular Project,Safe Room/Wind Shelter
DR-1791-0018-F,HMGP 5% Initiative,Generators
DR-1791-0023-F,HMGP 5% Initiative,Generators
DR-1791-0035-F,HMGP 5% Initiative,Generators
DR-1791-0307-F,HMGP 5% Initiative,Generators
DR-1791-0351-R,Regular Project,Safe Room/Wind Shelter
DR-1791-0201-R,Regular Project,Wind Retrofit
DR-1791-0222-F,HMGP 5% Initiative,Generators
DR-1791-0085-R,Regular Project,Safe Room/Wind Shelter
DR-1791-0130-F,HMGP 5% Initiative,Warning Systems
DR-1791-0147-F,HMGP 5% Initiative,Generators
DR-1791-0056-F,HMGP 5% Initiative,Generators
DR-1791-0211-P,Planning,Mitigation Planning
DR-1791-0036-F,HMGP 5% Initiative,Generators
DR-1791-0131-P,Planning,Mitigation Planning
DR-1791-0133-R,Regular Project,Wind Retrofit
DR-1791-0073-R,Regular Project,Safe Room/Wind Shelter
DR-1791-0150-F,HMGP 5% Initiative,Generators
DR-1791-0186-R,Regular Project,Wind Retrofit
DR-1791-0210-P,Planning,Mitigation Planning
DR-1791-0286-R,Regular Project,Wind Retrofit
DR-1791-0350-R,Regular Project,Safe Room/Wind Shelter
DR-1791-0217-F,HMGP 5% Initiative,Warning Systems
DR-1791-0277-R,Regular Project,Wind Retrofit
DR-1791-0034-F,HMGP 5% Initiative,Generators
DR-1791-0289-R,Regular Project,Wind Retrofit
DR-1791-0098-R,Regular Project,Wind Retrofit
DR-1791-0106-F,HMGP 5% Initiative,Education and Awareness
DR-1791-0123-R,Regular Project,Wind Retrofit
DR-1791-0225-F,HMGP 5% Initiative,Education and Awareness
DR-1791-0348-R,Regular Project,Safe Room/Wind Shelter
DR-1791-0323-R,Regular Project,Safe Room/Wind Shelter
DR-1791-0223-F,HMGP 5% Initiative,Education and Awareness
DR-1791-0105-F,HMGP 5% Initiative,Education and Awareness
DR-1791-0180-P,Planning,Mitigation Planning
DR-1791-0061-R,Regular Project,Safe Room/Wind Shelter
DR-1791-0097-R,Regular Project,Wind Retrofit
DR-1791-0104-F,HMGP 5% Initiative,Education and Awareness
DR-1791-0048-F,HMGP 5% Initiative,Generators
DR-1791-0096-R,Regular Project,Wind Retrofit
DR-1791-0344-R,Regular Project,Safe Room/Wind Shelter
DR-1791-0349-R,Regular Project,Safe Room/Wind Shelter
DR-1791-0324-R,Regular Project,Safe Room/Wind Shelter
DR-1791-0347-R,Regular Project,Safe Room/Wind Shelter
DR-1609-0067-R,Regular Project,Flood Control
DR-1609-0079-R,Regular Project,Wind Retrofit
DR-1609-0097-R,Regular Project,Wind Retrofit
DR-1609-0059-R,Regular Project,Wind Retrofit
DR-1609-0095-R,Regular Project,Wind Retrofit
DR-1609-0003-R,Regular Project,Wind Retrofit
DR-1609-0145-R,Regular Project,Wind Retrofit
DR-1786-0100-R,Regular Project,Wind Retrofit
DR-1609-0005-R,Regular Project,Wind Retrofit
DR-1609-0092-R,Regular Project,Flood Control
DR-1609-0104-R,Regular Project,Flood Control
DR-1609-0080-R,Regular Project,Wind Retrofit
DR-1609-0081-R,Regular Project,Wind Retrofit
DR-1609-0042-R,Regular Project,Wind Retrofit
DR-1609-0010-R,Regular Project,Wind Retrofit
DR-1609-0060-R,Regular Project,Wind Retrofit
DR-1609-0133-R,Regular Project,Wind Retrofit
DR-1609-0138-R,Regular Project,Wind Retrofit
DR-1609-0017-R,Regular Project,Wind Retrofit
DR-1609-0132-R,Regular Project,Wind Retrofit
DR-1609-0096-R,Regular Project,Utility and Infrastructure Protection
DR-1609-0043-R,Regular Project,Wind Retrofit
DR-1609-0073-R,Regular Project,Wind Retrofit
DR-1609-0024-R,Regular Project,Wind Retrofit
DR-1786-0077-R,Regular Project,Wind Retrofit
DR-1609-0152-R,Regular Project,Wind Retrofit
DR-1609-0140-R,Regular Project,Wind Retrofit
DR-1609-0014-R,Regular Project,Wind Retrofit
DR-1609-0105-R,Regular Project,Wind Retrofit
DR-1609-0150-R,Regular Project,Wind Retrofit
DR-1786-0082-R,Regular Project,Miscellaneous
DR-1609-0068-R,Regular Project,Flood Control
DR-1609-0012-R,Regular Project,Wind Retrofit
DR-1609-0071-R,Regular Project,Wind Retrofit
DR-1609-0007-R,Regular Project,Wind Retrofit
DR-1609-0006-R,Regular Project,Wind Retrofit
DR-1609-0049-R,Regular Project,Wind Retrofit
DR-1609-0135-R,Regular Project,"Feasibility, Engineering, and Design Studies"
DR-1609-0051-R,Regular Project,Wind Retrofit
DR-1609-0009-R,Regular Project,Wind Retrofit
DR-1786-0144-R,Regular Project,Wind Retrofit
DR-1609-0110-R,Regular Project,Utility and Infrastructure Protection
DR-1609-0111-R,Regular Project,Utility and Infrastructure Protection
DR-1609-0148-R,Regular Project,Wind Retrofit
DR-1609-0004-R,Regular Project,Wind Retrofit
DR-1609-0107-R,Regular Project,Wind Retrofit
DR-1786-0140-P,Planning,Mitigation Planning
DR-1609-0137-R,Regular Project,Flood Control
DR-1609-0153-R,Regular Project,"Feasibility, Engineering, and Design Studies"
DR-1609-0136-R,Regular Project,Wind Retrofit
DR-1786-0139-P,Planning,Mitigation Planning
DR-1786-0142-P,Planning,Mitigation Planning
DR-1786-0143-P,Planning,Mitigation Planning
DR-1609-0114-P,Planning,Mitigation Planning
DR-1609-0128-P,Planning,Mitigation Planning
DR-1609-0122-P,Planning,Mitigation Planning
DR-1609-0127-P,Planning,Mitigation Planning
DR-1609-0053-R,Regular Project,Wind Retrofit
DR-1609-0123-P,Planning,Mitigation Planning
DR-1609-0124-P,Planning,Mitigation Planning
DR-1609-0129-P,Planning,Mitigation Planning
DR-1609-0002-F,HMGP 5% Initiative,Safe Room/Wind Shelter
DR-1609-0168-P,Planning,Mitigation Planning
DR-1609-0115-P,Planning,Mitigation Planning
DR-1609-0103-R,Regular Project,Flood Control
DR-1609-0154-R,Regular Project,Wind Retrofit
DR-1609-0160-R,Regular Project,Wind Retrofit
